IPL	SignalType	--------	Frequency-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-------------	PRI	---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	-----PW----	-----	AntScan	--------	DeleteTime	ThreatLevel	AutoWarning	EmitterNotation	EmitterName	Category	ThreatERP	PlatformNo	PlatformName1	PlatformNo	PlatformName2	PlatformNo	PlatformName3	PlatformNo	PlatformName4	PlatformNo	PlatformName5																																																																												
no	type	Low	High	BW	p_type	SwtLev	Low(1)	Hgh(1)	Low(2)	Hgh(2)	Low(3)	Hgh(3)	Low(4)	Hgh(4)	Low(5)	Hgh(5)	Low(6)	Hgh(6)	Low(7)	Hgh(7)	Low(8)	Hgh(8)	Low(9)	Hgh(9)	Low(10)	Hgh(10)	Low(11)	Hgh(11)	Low(12)	Hgh(12)	Low(13)	Hgh(13)	Low(14)	Hgh(14)	Low(15)	Hgh(15)	Low(16)	Hgh(16)	PP_low	PP_hgh	type	Low	High	Ptype	Jitter	SL	Low(1)	Hgh(1)	Low(2)	Hgh(2)	Low(3)	Hgh(3)	Low(4)	Hgh(4)	Low(5)	Hgh(5)	Low(6)	Hgh(6)	Low(7)	Hgh(7)	Low(8)	Hgh(8)	Low(9)	Hgh(9)	Low(10)	Hgh(10)	Low(11)	Hgh(11)	Low(12)	Hgh(12)	Low(13)	Hgh(13)	Low(14)	Hgh(14)	Low(15)	Hgh(15)	Low(16)	Hgh(16)	PP_low	PP_hgh	Low	Hgh	Type	Low	High																		
1	1	3	9800000	10200000	200000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21000000	23000000	1	499000	501000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A001Z	m2_fp22	3	100	5	..	5	..	5	..	5	..	5	..
2	1	3	9800000	10200000	200000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19000000	24000000	1	499000	501000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A002Z	m2_fswp	3	100	5	..	5	..	5	..	5	..	5	..
3	1	3	9800000	10200000	200000	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19000000	25000000	1	499000	501000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A003Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
4	1	1	9990000	10100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	160000	220000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A004Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
5	1	1	9990000	10100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99000	101000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	4	9999	12000	60	5	1	A005Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
6	1	1	9990000	10100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99000	101000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	1	900000	1200000	60	1	1	A006Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
7	1	1	9990000	10100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1900000	21000000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	1	19000000	21000000	50	7	1	A007Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
8	1	1	2990000	3100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99000	101000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	1	900000	1200000	60	3	1	A008Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
9	1	1	9990000	10100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1900000	21000000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	2	1900000	2100000	60	4	1	A009Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
10	1	1	9990000	10100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1900000	21000000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	3	2900000	3100000	60	5	1	A010Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
11	1	2	8900000	9100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	540000	560000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	4	19000	22000	60	1	1	A011Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
12	1	3	9900000	10100000	200000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19000000	24000000	1	540000	560000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	60	2	1	A012Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
13	1	3	9900000	10100000	200000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19000000	24000000	1	540000	560000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	1	1900000	2200000	60	3	1	A013Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
14	1	3	9900000	10100000	200000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19000000	24000000	1	540000	560000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	1	1900000	2200000	60	1	1	A014Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
15	1	3	9900000	10100000	200000	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19000000	23000000	1	540000	560000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	4	19000	22000	60	4	1	A015Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
16	1	1	2990000	3100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99000	101000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	1	1900000	2100000	50	3	1	A016Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
17	1	1	9990000	10100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1900000	21000000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	2	1900000	2100000	60	7	1	A017Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
18	1	1	11900000	12100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	990000	1010000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	60	7	1	A018Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
19	1	1	9990000	10100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1900000	21000000	0	0	0	190	220	170	190	190	210	190	210	190	210	190	210	190	210	190	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	1	29000000	31000000	90	7	1	A019Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
20	1	4	9690000	10690000	200000	0	16	10140000	10160000	10230000	10250000	9940000	9960000	9810000	9830000	9690000	9710000	10490000	10510000	10460000	10480000	9880000	9900000	10670000	10690000	10590000	10610000	9760000	9780000	10400000	10420000	10183000	10203000	10014000	10034000	10540000	10560000	10302000	10322000	0	0	1	499000	501000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	5	3	1	A020Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
21	1	1	12990000	13100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	99000	101000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	1	1900000	2100000	40	5	1	A021Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
22	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A022Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
23	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A023Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
24	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A024Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
25	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A025Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
26	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A026Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
27	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A027Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
28	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A028Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
29	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A029Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
30	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A030Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
31	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A031Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
32	1	1	14900000	15100000	200000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	299000	301000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	900	1100	5	0	0	40	5	1	A032Z	m2_fswm	3	100	5	..	5	..	5	..	5	..	5	..
